0, 8, 22, 20, 42, 42, 70, 74
0, 23, 46, 46, 81, 81, 143, 137
0, 35, 64, 64, 152, 150, 249, 243
0, 40, 51, 53, 109, 113, 187, 179
0, 25, 33, 33, 67, 69, 105, 101
0, 26, 55, 51, 87, 87, 164, 160
0, 13, 26, 26, 33, 33, 57, 53
0, 27, 44, 44, 75, 77, 133, 127
0, 65, 104, 106, 221, 215, 362, 356
0, 11, 30, 32, 55, 53, 70, 68
0, 23, 47, 45, 92, 92, 134, 134
0, 19, 35, 41, 92, 92, 163, 153
0, 26, 60, 60, 98, 96, 166, 150
0, 100, 170, 174, 356, 358, 604, 606
0, 18, 29, 29, 54, 56, 90, 92
0, 19, 40, 43, 85, 85, 153, 153
