0.926, 0.000, -181.585, 502.090, 0.926, 0.000, -108.000, 252094.230, 0.000, 4.601, 0.000, 0.000, 2.000, 14.000
0.738, 0.236, -112.140, 38.950, 0.738, 0.056, -102.000, 1517.108, 0.693, 4.848, 0.000, 1.000, 0.000, 102.000
0.594, 0.086, -111.946, 43.984, 0.594, 0.007, -99.000, 1934.578, 0.693, 4.953, 0.000, 1.000, 0.000, 93.000
0.660, 0.125, -113.306, 49.945, 0.625, 0.016, -100.000, 2494.553, 1.386, 5.066, 0.000, 1.000, 0.000, 143.000
0.000, 0.000, -113.130, 53.611, 0.000, 0.000, -97.500, 2874.138, 0.000, 4.928, 0.000, 0.000, 0.000, 31.000
0.639, 0.027, -109.318, 33.927, 0.639, 0.001, -100.000, 1151.038, 0.693, 4.699, 0.000, 1.000, 0.000, 104.000
0.700, 0.154, -110.973, 34.110, 0.676, 0.024, -103.000, 1163.460, 1.099, 4.744, 0.000, 2.000, 0.000, 124.000
0.808, 0.053, -113.054, 37.951, 0.790, 0.003, -104.000, 1440.243, 1.099, 4.863, 0.000, 1.000, 0.000, 129.000
0.737, 0.146, -112.898, 44.180, 0.679, 0.021, -102.000, 1951.895, 1.386, 4.995, 0.000, 2.000, 0.000, 150.000
0.847, 0.127, -111.796, 34.169, 0.847, 0.016, -107.000, 1167.491, 0.693, 4.749, 0.000, 1.000, 0.000, 95.000
