Time;Pleth;II
hh:mm:ss.000';mV';mV'
'00:38:33.300';-137;30.61
'00:38:33.300';-142;42.85
'00:38:33.300';-146;53.41
'00:38:33.300';-151;63.25
'00:38:33.400';-151;59.39
'00:38:33.400';-151;51.18
'00:38:33.400';-149;44.25
'00:38:33.400';-146;36.85
'00:38:33.400';-142;30.72
'00:38:33.500';-140;14.11
'00:38:33.500';-137;-168.9
'00:38:33.500';-136;-286.79
'00:38:33.500';-134;-265.66
'00:38:33.600';-133;-101.87
'00:38:33.600';-130;93.59
'00:38:33.600';-127;223.65
'00:38:33.600';-123;237.97
'00:38:33.600';-122;221.12
'00:38:33.700';-121;202.71
'00:38:33.700';-119;187.12
'00:38:33.700';-116;172.45
'00:38:33.700';-114;165.3
'00:38:33.700';-115;157.55
'00:38:33.700';-115;137.07
'00:38:33.700';-114;89.23
'00:38:33.800';-112;32.33
'00:38:33.800';-107;-21.73
'00:38:33.800';-107;-77.16
'00:38:33.800';-106;-118.54
'00:38:33.800';-107;-148.09
'00:38:33.900';-105;-149.6
'00:38:33.900';-102;-142.03
'00:38:33.900';-103;-127.61
'00:38:33.900';-102;-108.55
'00:38:33.900';-102;-105.99
'00:38:34.000';-100;-110.94
'00:38:34.000';-98;-111.46
'00:38:34.000';-99;-107.04
'00:38:34.000';-100;-99.48
'00:38:34.000';-100;-87.22
'00:38:34.100';-100;-60.24
'00:38:34.100';-99;-30.81
'00:38:34.100';-98;-12.84
'00:38:34.200';-97;6.51
'00:38:34.200';-97;17.04
'00:38:34.200';-97;27.26
'00:38:34.200';-96;35.84
'00:38:34.200';-94;41.91
'00:38:34.300';-93;45.24
'00:38:34.300';-93;42.79
'00:38:34.300';-93;37.46
'00:38:34.300';-92;27.99
'00:38:34.300';-93;16.8
'00:38:34.400';-93;6.2
'00:38:34.400';-92;-3.35
'00:38:34.400';-92;45.9
'00:38:34.400';-92;154.41
'00:38:34.400';-92;166.93
'00:38:34.400';-94;47.81
'00:38:34.400';-92;-67.82
'00:38:34.500';-93;-62.43
'00:38:34.500';-94;-51.48
'00:38:34.500';-93;-37.99
'00:38:34.500';-94;-17.41
'00:38:34.500';-93;2.64
'00:38:34.600';-95;8.76
'00:38:34.600';-98;7.18
'00:38:34.600';-105;4.99
'00:38:34.600';-113;3.43
'00:38:34.600';-122;3.28
'00:38:34.700';-130;9.4
'00:38:34.700';-136;24.2
'00:38:34.700';-141;39.27
'00:38:34.700';-146;47.3
'00:38:34.800';-149;51.9
'00:38:34.800';-151;54.52
'00:38:34.800';-151;47.74
'00:38:34.800';-149;41.02
'00:38:34.800';-145;35.56
'00:38:34.800';-142;31.09
'00:38:34.900';-142;-88.02
'00:38:34.900';-141;-287.89
'00:38:34.900';-140;-275.59
'00:38:34.900';-138;-155.14
'00:38:34.900';-134;17.44
'00:38:35.000';-131;196.17
'00:38:35.000';-131;234.94
'00:38:35.000';-129;218.42
'00:38:35.100';-126;202.44
'00:38:35.100';-123;188.87
'00:38:35.100';-119;186.94
'00:38:35.100';-120;183.72
'00:38:35.100';-119;177.68
'00:38:35.100';-117;159.97
'00:38:35.100';-116;106.45
'00:38:35.200';-114;26.26
'00:38:35.200';-115;-48.57
'00:38:35.300';-114;-103.45
'00:38:35.300';-111;-143.69
'00:38:35.300';-109;-161.38
'00:38:35.300';-106;-164.72
'00:38:35.300';-106;-154.59
'00:38:35.300';-106;-139.74
'00:38:35.300';-104;-120.98
'00:38:35.400';-102;-105.19
'00:38:35.400';-100;-95.3
'00:38:35.400';-101;-83.19
'00:38:35.400';-101;-62.99
'00:38:35.400';-102;-35.36
'00:38:35.500';-100;-17.98
'00:38:35.500';-100;-7.98
'00:38:35.500';-99;-3.57
'00:38:35.500';-97;-0.69
'00:38:35.500';-96;3.19
'00:38:35.600';-97;9.92
'00:38:35.600';-97;14.73
'00:38:35.600';-94;16.38
'00:38:35.600';-95;18.63
'00:38:35.600';-95;20.69
'00:38:35.700';-96;21.92
'00:38:35.700';-96;21.62
'00:38:35.700';-95;18.8
'00:38:35.700';-95;59.19
'00:38:35.800';-95;190.18
'00:38:35.800';-97;172.29
'00:38:35.800';-97;17.03
'00:38:35.800';-98;-81.91
'00:38:35.800';-97;-82.91
'00:38:35.800';-97;-76.91
'00:38:35.800';-97;-68.56
'00:38:35.900';-95;-59.02
'00:38:35.900';-96;-50.54
'00:38:35.900';-96;-40.74
'00:38:35.900';-99;-37.23
'00:38:36.000';-109;-37.12
'00:38:36.000';-120;-34.41
'00:38:36.000';-129;-25.96
'00:38:36.000';-136;-7.28
'00:38:36.100';-143;14.85
'00:38:36.100';-147;31.35
'00:38:36.100';-150;43.1
'00:38:36.100';-151;51.52
'00:38:36.100';-153;49.41
'00:38:36.200';-152;40.72
'00:38:36.200';-151;32.92
'00:38:36.200';-149;30.67
'00:38:36.200';-146;19.27
'00:38:36.200';-143;-25.65
'00:38:36.300';-141;-113.75
'00:38:36.300';-139;-181.02
'00:38:36.300';-140;-165.97
'00:38:36.300';-137;5.32
'00:38:36.300';-134;172.62
'00:38:36.400';-130;153.1
'00:38:36.400';-126;144.85
'00:38:36.400';-124;131.5
