Time;Pleth;II
hh:mm:ss.000';mV';mV'
'00:57:35.700';-163;15
'00:57:35.700';-160;9.2
'00:57:35.700';-153;6.95
'00:57:35.700';-143;21.25
'00:57:35.700';-133;48.42
'00:57:35.700';-125;203.84
'00:57:35.700';-121;51.35
'00:57:35.700';-119;-13.97
'00:57:35.700';-117;-77.5
'00:57:35.700';-115;-80.57
'00:57:35.700';2020;153
'00:57:35.700';-3055;295.01
'00:57:35.700';-5187;457.28
'00:57:35.700';-5889;250.07
'00:57:35.800';-5915;173.53
'00:57:35.800';-5634;112.13
'00:57:35.800';-5229;86.63
'00:57:35.800';-4788;76.85
'00:57:35.800';-4356;84.58
'00:57:35.900';-3947;81.9
'00:57:35.900';-3570;78.72
'00:57:35.900';-3224;74.03
'00:57:35.900';-2916;70.21
'00:57:35.900';-2644;76.58
'00:57:36.000';-2405;85.17
'00:57:36.000';-2191;89.14
'00:57:36.000';-2000;91.54
'00:57:36.000';-1827;90.04
'00:57:36.100';-1669;83.83
'00:57:36.100';-1524;72.5
'00:57:36.100';-1386;59.8
'00:57:36.100';-1259;55.35
'00:57:36.100';-1140;95.47
'00:57:36.100';-1030;194.23
'00:57:36.200';-932;52.27
'00:57:36.200';-845;-7.07
'00:57:36.200';-769;-60.26
'00:57:36.200';-701;-60.9
'00:57:36.300';-638;-59.02
'00:57:36.300';-582;-51.81
'00:57:36.300';-531;-38.16
'00:57:36.300';-485;-24.97
'00:57:36.300';-444;-10.39
'00:57:36.300';-408;7.55
'00:57:36.400';-377;37.06
'00:57:36.400';-354;48.8
'00:57:36.400';-337;52.9
'00:57:36.400';-322;49.33
'00:57:36.500';-307;47.31
'00:57:36.500';-291;43.18
'00:57:36.500';-273;37.27
'00:57:36.500';-253;28.46
'00:57:36.600';-233;78.21
'00:57:36.600';-214;222.1
'00:57:36.600';-196;22.12
'00:57:36.600';-184;-37.17
'00:57:36.600';-175;-90.28
'00:57:36.600';-166;-84.01
'00:57:36.700';-158;-77.43
'00:57:36.700';-151;-69.95
'00:57:36.700';-142;-53
'00:57:36.700';-134;-36.36
'00:57:36.800';-130;-29.79
'00:57:36.800';-125;-23
'00:57:36.800';-123;-11.87
'00:57:36.800';-127;6.19
'00:57:36.800';-134;15.27
'00:57:36.800';-141;24.37
'00:57:36.900';-146;27.77
'00:57:36.900';-147;26.91
'00:57:36.900';-143;25.12
'00:57:36.900';-135;20.51
'00:57:37.000';-127;14.45
'00:57:37.000';-117;6.52
'00:57:37.000';-112;3.39
'00:57:37.000';-107;4.15
'00:57:37.000';-103;7.96
'00:57:37.000';-101;8.83
'00:57:37.000';-100;7.53
'00:57:37.000';-97;4.82
'00:57:37.100';-96;-0.31
'00:57:37.100';-95;-9.08
'00:57:37.100';-93;-5.02
'00:57:37.200';-92;86.54
'00:57:37.200';-92;92.39
'00:57:37.200';-91;29.91
'00:57:37.200';-89;-56.4
'00:57:37.200';-87;-76.85
'00:57:37.300';-86;-69.49
'00:57:37.300';-86;-65.62
'00:57:37.300';-87;-63.82
'00:57:37.300';-88;-57.44
'00:57:37.400';-87;-37.83
'00:57:37.400';-91;-13.75
'00:57:37.400';-103;7.27
'00:57:37.400';-120;23.37
'00:57:37.400';-138;37.14
'00:57:37.500';-155;38.4
'00:57:37.500';-168;31.55
'00:57:37.500';-181;22.24
'00:57:37.500';-189;20.32
'00:57:37.500';-192;28.54
'00:57:37.600';-187;130.91
'00:57:37.600';-176;43.13
'00:57:37.600';-162;5.85
'00:57:37.600';-149;-55.72
'00:57:37.600';-142;-70.83
'00:57:37.600';-135;-68.13
'00:57:37.700';-132;-61.65
'00:57:37.700';-128;-53.31
'00:57:37.700';-122;-49.66
'00:57:37.700';-117;-41.1
'00:57:37.700';-114;-21.56
'00:57:37.700';-112;1.77
'00:57:37.800';-114;26.79
'00:57:37.800';-119;40.72
'00:57:37.800';-126;40.91
'00:57:37.800';-132;38.06
'00:57:37.900';-133;28.99
'00:57:37.900';-130;19.33
'00:57:37.900';-123;94.21
'00:57:37.900';-115;183.92
'00:57:37.900';-106;20.57
'00:57:38.000';-101;-57.47
'00:57:38.000';-95;-83.07
'00:57:38.000';-91;-79.91
'00:57:38.000';-90;-75.26
'00:57:38.000';-89;-68.18
'00:57:38.100';-86;-60.43
'00:57:38.100';-86;-48.23
'00:57:38.100';-85;-26.27
'00:57:38.100';-85;-3.15
'00:57:38.100';-86;22.57
'00:57:38.200';-89;43.66
'00:57:38.200';-96;52.08
'00:57:38.200';-104;44.06
'00:57:38.200';-109;31.14
'00:57:38.200';-109;15.39
'00:57:38.200';-104;12.36
'00:57:38.200';-97;92.89
'00:57:38.300';-90;145.81
'00:57:38.300';-86;15.98
'00:57:38.300';-83;-51.15
'00:57:38.400';-82;-76.66
'00:57:38.400';-83;-76.92
'00:57:38.400';-83;-75.62
'00:57:38.400';-84;-72.11
'00:57:38.500';-84;-63.3
'00:57:38.500';-83;-34.89
'00:57:38.500';-84;-7.14
'00:57:38.500';-84;9.35
'00:57:38.500';-88;24.69
'00:57:38.500';-98;35.97
'00:57:38.600';-107;32.12
'00:57:38.600';-114;23.94
'00:57:38.600';-117;17.7
'00:57:38.600';-117;22.22
'00:57:38.600';-114;24.1
'00:57:38.600';-108;27.32
'00:57:38.700';-101;30.56
'00:57:38.700';-95;96.95
'00:57:38.700';-93;133.79
'00:57:38.800';-91;-3
'00:57:38.800';-90;-62.87
'00:57:38.800';-89;-98.81
'00:57:38.800';-89;-89.98
'00:57:38.800';-89;-75.51
'00:57:38.800';-90;-59.64
'00:57:38.900';-89;-47.41
'00:57:38.900';-89;-39.25
'00:57:38.900';-90;-28.38
'00:57:38.900';-96;-7.44
'00:57:39.000';-107;13.36
'00:57:39.000';-120;26.37
'00:57:39.000';-132;30.15
'00:57:39.000';-142;37.24
'00:57:39.000';-149;136.61
'00:57:39.000';-148;52.98
'00:57:39.100';-146;6.06
'00:57:39.100';-140;-42.35
'00:57:39.100';-132;-49.71
'00:57:39.100';-123;-47.43
'00:57:39.100';-117;-47.69
'00:57:39.200';-112;-45.51
'00:57:39.200';-109;-40.05
'00:57:39.200';-106;-25.83
'00:57:39.200';-106;-5.65
'00:57:39.300';-106;12.29
'00:57:39.300';-110;28.55
'00:57:39.300';-114;42.18
'00:57:39.300';-122;41.39
'00:57:39.300';-126;34.35
'00:57:39.400';-128;25.66
'00:57:39.400';-124;21.78
'00:57:39.400';-119;19.91
'00:57:39.400';-112;18.33
'00:57:39.400';-106;16.05
'00:57:39.500';-102;20.11
'00:57:39.500';-98;17.88
'00:57:39.500';-96;12.76
'00:57:39.500';-96;7.63
'00:57:39.500';-96;3.84
'00:57:39.500';-97;4.38
'00:57:39.500';-96;6.31
'00:57:39.600';-96;67.56
'00:57:39.600';-94;43.69
'00:57:39.600';-93;-15.74
'00:57:39.600';-91;-77.75
'00:57:39.600';-90;-81.47
'00:57:39.700';-89;-78.43
'00:57:39.700';-90;-73.61
'00:57:39.700';-90;-64.57
'00:57:39.700';-90;-47.96
'00:57:39.800';-93;-23.78
'00:57:39.800';-103;-13.35
'00:57:39.800';-118;-5.41
'00:57:39.800';-135;7.8
'00:57:39.800';-151;21.06
'00:57:39.900';-163;24.34
'00:57:39.900';-172;25.17
'00:57:39.900';-179;26.94
'00:57:39.900';-183;31.55
