Time;Pleth;II
hh:mm:ss.000';mV';mV'
'11:20:01.367';-168;8.46
'11:20:01.367';7.76;
'11:20:01.367';-76;-14.32
'11:20:01.367';-75;-8.96
'11:20:01.367';-74;-8.01
'11:20:01.367';-74;-11.67
'11:20:01.367';-74;-13.5
'11:20:01.367';-73;-15.2
'11:20:01.367';-72;11.75
'11:20:01.367';-71;45.82
'11:20:01.367';-72;-39.49
'11:20:01.367';-71;-41.76
'11:20:01.367';-70;-39.76
'11:20:01.367';1574;163
'11:20:01.367';3796;291.36
'11:20:01.414';4605;267.72
'11:20:01.414';4738;247.22
'11:20:01.414';4557;224.18
'11:20:01.448';4245;202.22
'11:20:01.448';3890;182.64
'11:20:01.481';3535;166.11
'11:20:01.515';3192;149.83
'11:20:01.515';2876;138.75
'11:20:01.548';2588;133.12
'11:20:01.548';2326;127.58
'11:20:01.596';2088;115.23
'11:20:01.596';1874;97.87
'11:20:01.633';1682;87.41
'11:20:01.633';1507;88.42
'11:20:01.681';1348;141.31
'11:20:01.681';1208;38.07
'11:20:01.715';1082;26.99
'11:20:01.715';968;25.66
'11:20:01.766';863;22.69
'11:20:01.766';768;20.27
'11:20:01.766';685;18.96
'11:20:01.811';607;17.24
'11:20:01.811';535;15.11
'11:20:01.849';460;13.64
'11:20:01.849';386;13.76
'11:20:01.894';319;14.08
'11:20:01.894';259;14.96
'11:20:01.931';206;14.97
'11:20:01.931';160;14.78
'11:20:01.965';119;13.95
'11:20:01.965';84;12.32
'11:20:01.999';53;9.27
'11:20:02.050';26;4.8
'11:20:02.050';4;-0.94
'11:20:02.050';-12;-4.51
'11:20:02.101';-26;-5.66
'11:20:02.101';-35;-5.42
'11:20:02.151';-40;-4.46
'11:20:02.151';-43;-3.79
'11:20:02.151';-44;-4.09
'11:20:02.201';-44;-5.4
'11:20:02.201';-44;-7.91
'11:20:02.251';-45;-12.68
'11:20:02.251';-46;-17.76
'11:20:02.251';-46;-21.3
'11:20:02.300';-45;-22.54
'11:20:02.300';-44;-22.34
'11:20:02.351';-43;-21.41
'11:20:02.351';-43;-19.67
'11:20:02.351';-45;-16.69
'11:20:02.401';-47;-12.66
'11:20:02.401';-48;-8.86
'11:20:02.451';-49;-5.77
'11:20:02.451';-50;-3.28
'11:20:02.451';-51;-0.74
'11:20:02.501';-52;2.73
'11:20:02.501';-54;6.26
'11:20:02.549';-54;12.72
'11:20:02.549';-56;15.99
'11:20:02.549';-57;12.78
'11:20:02.585';-58;10.69
'11:20:02.634';-59;10.81
'11:20:02.634';-59;20.96
'11:20:02.634';-60;86.05
'11:20:02.684';-62;-22.64
'11:20:02.684';-62;-16.52
'11:20:02.734';-63;-15
'11:20:02.734';-64;-13.7
'11:20:02.734';-65;-12.37
'11:20:02.784';-64;-11.26
'11:20:02.784';-64;-10.57
'11:20:02.784';-71;-9.32
'11:20:02.833';-86;-8.09
'11:20:02.833';-102;-6.91
'11:20:02.881';-116;-4.91
'11:20:02.881';-130;-1.65
'11:20:02.915';-142;2.17
'11:20:02.915';-154;5.59
'11:20:02.950';-164;7.96
'11:20:02.950';-173;8.78
'11:20:02.996';-178;9.51
'11:20:02.996';-180;9.93
'11:20:03.032';-180;10.2
'11:20:03.032';-177;11.23
'11:20:03.082';-171;13.82
'11:20:03.082';-163;18.22
'11:20:03.131';-155;24.23
'11:20:03.131';-146;29.2
'11:20:03.131';-139;30.61
'11:20:03.181';-130;29.59
'11:20:03.181';-122;26.75
'11:20:03.226';-115;22.66
'11:20:03.226';-107;17.52
'11:20:03.226';-101;13.36
'11:20:03.272';-96;9.86
'11:20:03.272';-92;8.12
'11:20:03.319';-88;6.92
'11:20:03.319';-84;6.27
'11:20:03.367';-81;5.91
'11:20:03.367';-77;5.44
'11:20:03.367';-76;4.89
'11:20:03.413';-73;4.26
'11:20:03.413';-71;3.76
'11:20:03.460';-71;4.03
'11:20:03.460';-69;4.21
'11:20:03.507';-69;5.22
'11:20:03.507';-68;7.34
'11:20:03.507';-69;7.24
'11:20:03.553';-70;5.53
'11:20:03.553';-71;3.93
'11:20:03.601';-72;1.78
'11:20:03.601';-71;45.22
'11:20:03.647';-69;6.3
'11:20:03.647';-69;-26.12
'11:20:03.647';-68;-25.22
'11:20:03.694';-68;-25.12
'11:20:03.694';-68;-24.75
'11:20:03.731';-69;-24.02
'11:20:03.731';-71;-22.75
'11:20:03.765';-75;-20.34
'11:20:03.765';-86;-16.48
'11:20:03.800';-101;-12.07
'11:20:03.848';-116;-8.8
'11:20:03.848';-130;-3.59
'11:20:03.848';-143;1.6
'11:20:03.882';-153;4.82
'11:20:03.917';-161;6.71
'11:20:03.917';-168;7.6
'11:20:03.951';-171;6.11
'11:20:03.951';-174;4.79
'11:20:04.000';-174;3.61
'11:20:04.000';-172;2.82
'11:20:04.000';-169;2.6
'11:20:04.050';-164;4.29
'11:20:04.050';-158;7.63
'11:20:04.101';-151;12.36
'11:20:04.101';-142;14.96
'11:20:04.151';-133;14.56
'11:20:04.151';-125;13.12
'11:20:04.151';-117;10.57
'11:20:04.196';-109;7.82
'11:20:04.196';-102;5.17
'11:20:04.231';-96;3.12
'11:20:04.231';-90;1.95
'11:20:04.266';-87;1.31
'11:20:04.266';-83;1.22
'11:20:04.300';-80;1.4
'11:20:04.335';-78;1.71
'11:20:04.335';-76;1.95
'11:20:04.384';-74;2.3
'11:20:04.384';-73;2.77
'11:20:04.384';-70;3.71
'11:20:04.434';-70;5.06
'11:20:04.434';-69;7.64
'11:20:04.485';-69;12.87
'11:20:04.485';-70;14.79
'11:20:04.485';-67;11.7
'11:20:04.534';-67;10.17
'11:20:04.534';-66;9.03
'11:20:04.584';-67;32.24
'11:20:04.584';-66;69.8
'11:20:04.584';-67;-19.15
'11:20:04.634';-67;-12.67
'11:20:04.634';-69;-11.04
'11:20:04.684';-70;-10.15
'11:20:04.684';-70;-9.41
'11:20:04.684';-72;-7.82
'11:20:04.734';-74;-6
'11:20:04.734';-82;1.28
'11:20:04.784';-95;9.36
'11:20:04.784';-111;14.28
'11:20:04.784';-126;14.65
'11:20:04.818';-139;14.78
'11:20:04.866';-150;13.22
'11:20:04.866';-159;11.67
'11:20:04.866';-165;9.9
'11:20:04.900';-169;7.3
'11:20:04.933';-172;4.23
'11:20:04.933';-174;0.91
'11:20:04.967';-174;-3.29
'11:20:04.967';-173;-4.08
'11:20:05.016';-167;-3
'11:20:05.016';-160;-1.75
'11:20:05.051';-152;0.31
'11:20:05.051';-144;2.91
'11:20:05.085';-134;4.44
'11:20:05.085';-125;3.94
'11:20:05.134';-120;2.54
'11:20:05.134';-112;0.6
'11:20:05.184';-105;-1.25
'11:20:05.184';-100;-3.2
