Time;Pleth;II
hh:mm:ss.000';mV';mV'
'00:24:46.500';-101;13.67
'00:24:46.500';55;-4.9
'00:24:46.500';-148;-3.32
'00:24:46.500';-140;-1.92
'00:24:46.500';-133;-1.31
'00:24:46.500';-126;-0.95
'00:24:46.500';-119;-0.73
'00:24:46.500';-116;-0.58
'00:24:46.500';-112;0.98
'00:24:46.500';-109;0.48
'00:24:46.500';-104;12.17
'00:24:46.500';1960;153
'00:24:46.500';-3398;270.56
'00:24:46.500';-5640;259.84
'00:24:46.600';-6370;246.62
'00:24:46.600';-6383;221.58
'00:24:46.600';-6073;195.3
'00:24:46.600';-5632;188.12
'00:24:46.700';-5156;236.52
'00:24:46.700';-4689;147.39
'00:24:46.700';-4247;80.82
'00:24:46.700';-3838;18.27
'00:24:46.700';-3468;60.14
'00:24:46.700';-3134;82.57
'00:24:46.800';-2828;76.86
'00:24:46.800';-2551;71.24
'00:24:46.800';-2303;71.64
'00:24:46.800';-2081;68.5
'00:24:46.900';-1882;63.85
'00:24:46.900';-1703;63.46
'00:24:46.900';-1547;64.31
'00:24:46.900';-1418;62.15
'00:24:46.900';-1305;59.05
'00:24:46.900';-1200;49.19
'00:24:46.900';-1109;33.43
'00:24:47.000';-1024;20.16
'00:24:47.000';-947;14.71
'00:24:47.000';-875;12.68
'00:24:47.000';-809;55.72
'00:24:47.000';-747;79.89
'00:24:47.100';-689;3.54
'00:24:47.100';-634;-53.24
'00:24:47.100';-582;-46.96
'00:24:47.200';-533;-22.41
'00:24:47.200';-486;-3.27
'00:24:47.200';-444;5.66
'00:24:47.200';-406;6.49
'00:24:47.200';-373;4.22
'00:24:47.200';-342;2.19
'00:24:47.300';-316;3.24
'00:24:47.300';-292;13.17
'00:24:47.300';-268;29.56
'00:24:47.300';-248;31.24
'00:24:47.300';-232;25.59
'00:24:47.300';-222;12.63
'00:24:47.400';-212;-3.21
'00:24:47.400';-206;-7.9
'00:24:47.400';-200;16.74
'00:24:47.400';-192;96.44
'00:24:47.500';-182;12.61
